id,user_id,user_nickname,date_taken,date_uploaded,title,longitude,latitude,accuracy_coordinates,page_url,video_url
30117279,73843395@N00,d0ndy,2013-07-16 21:51:25,1374025885,Ron+Burgundy%21+%23Anchorman,-79.380426,43.656074,16.0,http://www.flickr.com/photos/73843395@N00/9305361840/,http://farm8.staticflickr.com/7443/9305361840_b603038274.jpg
90380739,7616875@N04,daniel_dimarco,2006-03-29 20:50:24,1185693030,FOD06_0760_filtered,-79.394674,43.663447,14.0,http://www.flickr.com/photos/7616875@N04/935958785/,http://farm2.staticflickr.com/1341/935958785_9a0b1cad6e.jpg
88392665,45631234@N04,taken+from+room+202,2010-01-19 15:47:04,1264272789,DSC_0182,-79.426989,43.642667,15.0,http://www.flickr.com/photos/45631234@N04/4298401740/,http://farm3.staticflickr.com/2738/4298401740_9fbd2f51a4.jpg
74572106,27291676@N06,photoswebpm,2010-06-23 11:46:09,1277394369,Le+PM+assiste+%C3%A0+la+c%C3%A9r%C3%A9monie+de+comm%C3%A9moration+du+25e+anniversaire+de+l%27atroce+attentat+perp%C3%A9tr%C3%A9+contre+le+vol+182+d%27Air+India,-79.413363,43.635267,15.0,http://www.flickr.com/photos/27291676@N06/4730009951/,http://farm2.staticflickr.com/1344/4730009951_140a963e6d.jpg
88825834,47442454@N02,Victor+Lewicki,2011-04-27 08:43:01,1303964676,,-79.434,43.822167,16.0,http://www.flickr.com/photos/47442454@N02/5662997355/,http://farm6.staticflickr.com/5185/5662997355_675f0231bf.jpg
98056256,7893801@N07,graphicmatt,2011-03-04 16:39:54,1300047807,New+Neighbourhood+No+Frills,-79.366,43.650667,16.0,http://www.flickr.com/photos/7893801@N07/5523323205/,http://farm6.staticflickr.com/5053/5523323205_a03b8c7b79.jpg
91670473,44124372363@N01,swanksalot,2013-09-01 11:42:56,1381771817,Walk+Over,-79.393829,43.65593300000001,16.0,http://www.flickr.com/photos/44124372363@N01/10273979734/,http://farm3.staticflickr.com/2814/10273979734_010940cbf9.jpg
84449978,59724445@N07,vlitvinov,2008-09-28 00:00:32,1312175848,Scotiabank+Toronto+Waterfront+Marathon+2008,-79.383752,43.652705,15.0,http://www.flickr.com/photos/59724445@N07/5996549993/,http://farm7.staticflickr.com/6149/5996549993_b1e07d1d57.jpg
93735269,7616875@N04,daniel_dimarco,2010-09-18 16:46:40,1286828240,cornroast2010_051_filtered,-79.432225,43.753163,14.0,http://www.flickr.com/photos/7616875@N04/5072398487/,http://farm5.staticflickr.com/4104/5072398487_f50c0dd3f6.jpg
89317749,9911655@N08,wyliepoon,2006-06-17 04:53:10,1184633203,P1040281,-79.414801,43.655173,14.0,http://www.flickr.com/photos/9911655@N08/831902529/,http://farm2.staticflickr.com/1326/831902529_dd04c901c3.jpg
97502688,12316147@N05,lam_chihang,2011-06-11 09:35:27,1308305675,IMG_2290,-79.59970200000002,43.581447,15.0,http://www.flickr.com/photos/12316147@N05/5842043604/,http://farm3.staticflickr.com/2519/5842043604_c00fe4886e.jpg
69184814,7616875@N04,daniel_dimarco,2007-11-20 00:02:18,1195631132,JuliusCaesar__615_filtered,-79.394717,43.66347800000001,16.0,http://www.flickr.com/photos/7616875@N04/2052291076/,http://farm3.staticflickr.com/2382/2052291076_8c646936d2.jpg
97768801,68815984@N00,proemial,2007-11-16 22:59:45,1196219566,IMG_0090,-79.37439599999998,43.662004,16.0,http://www.flickr.com/photos/68815984@N00/2069713293/,http://farm3.staticflickr.com/2192/2069713293_aa50bcd71a.jpg
87389616,37517876@N07,John+Sanchez+Photography,2009-06-26 16:12:19,1246252285,20090626182,-79.408739,43.645834,16.0,http://www.flickr.com/photos/37517876@N07/3671019618/,http://farm4.staticflickr.com/3311/3671019618_e217a9809c.jpg
75972463,62954180@N03,zidamdam,2011-08-01 11:45:13,1315766298,,-79.38609100000002,43.650733,13.0,http://www.flickr.com/photos/62954180@N03/6136862681/,http://farm7.staticflickr.com/6065/6136862681_e38f9cacd3.jpg
73562735,67458569@N00,colink.,2008-08-23 16:01:38,1219541280,IMG_4584_edited-1,-79.364365,43.684585,16.0,http://www.flickr.com/photos/67458569@N00/2791366596/,http://farm4.staticflickr.com/3103/2791366596_220c6162c3.jpg
88955428,43081635@N08,Lisa5588,2010-07-04 13:18:54,1278377015,Like+the+desert,-79.385318,43.666412,14.0,http://www.flickr.com/photos/43081635@N08/4765598655/,http://farm5.staticflickr.com/4082/4765598655_c495a39195.jpg
90021261,55289779@N00,booledozer,2013-10-16 08:25:13,1381963179,Toronto+Skyline%2C+2013+10+16+%2824%29,-79.364373,43.6493,16.0,http://www.flickr.com/photos/55289779@N00/10318346216/,http://farm6.staticflickr.com/5519/10318346216_746e73cf7a.jpg
77136063,12693966@N07,fabfotophotography,2012-07-01 02:16:23,1341405449,Pride+Toronto+2012+-+Parade-241,-79.38300100000002,43.660979,15.0,http://www.flickr.com/photos/12693966@N07/7500714184/,http://farm8.staticflickr.com/7139/7500714184_d6e40c6996.jpg
83527257,61392797@N00,wyn+%E2%99%A5+lok,2011-01-28 11:24:06,1296628641,Grand+Marnier+Creme+Brulee+%2F+Osgoode+Hall+Restaurant+%28Toronto%2C+ON%29,-79.385063,43.651149,15.0,http://www.flickr.com/photos/61392797@N00/5409356963/,http://farm5.staticflickr.com/4123/5409356963_fa5cbf358b.jpg
78887856,42504712@N00,Evil+Panda,2007-08-09 14:43:00,1187112169,_MG_6941,-79.358013,43.723281,16.0,http://www.flickr.com/photos/42504712@N00/1116738393/,http://farm2.staticflickr.com/1171/1116738393_0421151d85.jpg
84916584,43139087@N00,vasta,2006-10-14 22:45:12,1161276413,Canadian+Festival+of+Spoken+Word,-79.375346,43.647403,16.0,http://www.flickr.com/photos/43139087@N00/273971424/,http://farm1.staticflickr.com/112/273971424_d5448d9050.jpg
95794008,84987970@N00,Sweet+One,2012-06-21 21:01:39,1341280148,IMG_3802,-79.380834,43.63800000000001,16.0,http://www.flickr.com/photos/84987970@N00/7491356448/,http://farm9.staticflickr.com/8013/7491356448_02e1ea7685.jpg
69075405,12169388@N05,ph-stop,2009-03-06 20:23:06,1236544308,Frank+Dancevic,-79.511972,43.771699,16.0,http://www.flickr.com/photos/12169388@N05/3338398219/,http://farm4.staticflickr.com/3555/3338398219_7bd82f6d3f.jpg
20725553,13613374@N00,Mike+Babcock,2009-02-14 16:05:36,1234860705,dsc01428,-79.387056,43.642597,15.0,http://www.flickr.com/photos/13613374@N00/3286668865/,http://farm4.staticflickr.com/3161/3286668865_3fe37c4515.jpg
74126855,84197163@N00,CavinB,2012-04-02 08:33:07,1333369987,Tuna+with+ratatouille,-79.39799000000002,43.645346,16.0,http://www.flickr.com/photos/84197163@N00/7038511155/,http://farm8.staticflickr.com/7082/7038511155_a28089691f.jpg
64055072,54816622@N07,philografy,2011-02-20 16:54:48,1298315664,The+Old+Man+On+The+Bench,-79.386638,43.667522,16.0,http://www.flickr.com/photos/54816622@N07/5465914976/,http://farm6.staticflickr.com/5297/5465914976_7839b94f15.jpg
85315978,39460517@N03,Tsar+Kasim,2009-11-04 18:16:48,1257402157,RPFF+Opening+Night+%2315,-79.360835,43.658154,16.0,http://www.flickr.com/photos/39460517@N03/4076580741/,http://farm4.staticflickr.com/3595/4076580741_36a34dc529.jpg
46480773,9911655@N08,wyliepoon,2013-08-09 16:42:49,1376178923,IMG_1855,-79.395103,43.841894,13.0,http://www.flickr.com/photos/9911655@N08/9483179688/,http://farm6.staticflickr.com/5511/9483179688_df8a877068.jpg
